Exercises – F3 New Orleans,
Name,Description
Baba O'Riley,"Five minutes of Imperial Walkers set to the perfect five minute song, Baba O’Reilly by The Who. Increasing tempo for the final 30 seconds."
Bearway to Heaven,"A Bear Crawl suicide of seven increasing lengths with decreasing burpees at the end of each length. Ideally the lengths and number of burpees should be such that the entire exercise takes the full 8:01 time of ""Stairway to Heaven""."
Bodies Hit the Floor,"This is done to the song Bodies by Drowning Pool (3:21). Start in plank position. When the song says ""Let The Bodies Hit The Floor"" do a Donkey Kick (26 Total). When the song counts (1, 2, 3, 4) do a Merkin (21 Total). Always plank when not doing Donkey Kicks or Merkins and never let your Bodies Hit The Floor."
Chumbaburpee,"To the song, Tubthumper by Chumbawampa, start with SSH at beginning of song, then every time they say, ""I get knocked down, but i get up again"" you do a burpee. While not doing burpees, you are continuously doing SSH. In the end, you will do about 27 burpees. Great for the Warmorama, and to shut down any mumblechatter early in workout, or at any point during the workout."
Cotton-eyed Joe,"Best accompanied by playing Cotton Eyed Joe by Rednex (3:14) Start with SSH to music when singing starts. When music changes and woman sings, switch to merkins, Then switch back to Side Straddle Hops when man sings again. When violin or Banjo solo starts, squat low, then raise and kick leg to the left, squat low, and kick leg to the right. Alternate legs. Rinse & Repeat: Man singing: SSH / Violin or Banjo solo: CEJ / Woman singing: Merkins"
Cupid Shuffle,Q plays Cupid Shuffle (3:52 minute song): Do as they command from Plank Position Right=right; Left=left; kick=kick; Down=merkin EXTRA: Mountain Climbers when not doing movement
Danger Zone,PAX performs side straddle hop while Danger Zone by Kenny Loggins plays in the background. Everytime the words danger zone are heard PAX does single squat then resumes side straddle hop. End result is 3 and a half minutes of SSH with sporadic squats.
Get Low,"Performed to the song Get Low by DJ Snake, hold the people's chair while the song says Get Low over and over again. When the Beat Drops do squats up and down in Cadence with the beat. The song will repeat and you can either repeat this or you can drop to a low plank. Hold the low point of a merkin while the song says Get Low for what seems like a ridiculously Long Time. When the Beat Drops do merkins, if you can. Good warm up to a ridiculous song"
Get Lucky or not so much,"Listen to ""Get Lucky"" by Daft Punk, and every time they say ""get lucky"" do a murkin. Everytime the song says ""we're up all night"" hold an Al Gore until he says ""get lucky"" again."
Green Sally Up,"Q plays the song ""Flower"" by Moby (Gone in 60 seconds soundtrack). Start with your chest on the ground, and enjoy it because your chest shouldn't touch the ground again until the song is over. When the song says ""Green Sally Up"" the Pax will be in the 'Merican up position, and ""Green Sally Down"" the Pax will be in the 'Merican down position. Pax will hold the down position until the next rep. It's only 31 little reps in 3:30. Scale this workout to your fitness level: If you are fatigued, modify the 'mericans by either doing chest to ground at the bottom, or take no shame and use your knees. Here's a tip to complete it, position hands between shoulders and chest and close to the body, much less stress on the shoulders. This can be modified to about any move; squats, curls, planks or even pull-ups if you are absolutely insane. http://www.youtube.com/watch?v=6A2V9Bu80J4"
Gut Busters,Everyone starts in and holds a plank during the Ghostbusters song. Every time they say “Ghost Busters” you complete a burpee. In the “I ain’t afraid of no ghosts” sections do plank jacks in rhythm. Bustin’ makes everyone feel good!!!!
In the plank tonight,"Hold the plank position for the entirety of ""in the air tonight"" by Phil Collins."
Little Merkin Boy,"Play the Christmas song Little Drummer Boy by Bing Crosby. Hold plank and complete one Merkin every time you here ""Pa rum pum pum pum"". That is 3 minutes of plank and 21 Merkins. This is a great way to finish a Beatdown during the Christmas season."
Mega Man,"Done to the Mega Man video game theme song, approximately 4 minutes. Routine starts with 4 full squats… on last squat, stay in low squat position drop to hand and then push your self back into squat position (Squat Merkin) x 4. Once squat merkins are completed, from low squat jump up and complete high knee tuck touch jumps x 4 reps. Repeato until song is complete. Everyone knows Mega Man has mad hops!"
Musical Dora,"Musical Dora is Dora's fun and sinister sides put together. Partner up just like a Dora. Partner 1 does the selected exercise while partner 2 runs either a hill or circuit and back then flapjack. During this time you have your favorite play list going. All exercises are done for the time period of a song. Sandbags or kettle bells are good here for the exercises. Taylor your playlist and exercises to the length of time you want to take. Examples of exercises: Kettle bell swings, overhead press, curls, bent over row, goblet squats, thrusters, overhead tricep extentions and the crowd pleasers: burpees or merkins to finish done to the 6:05 minute version of MJ singing ""Don't Stop Till You Get Enough"".  Doing the exercises to a time based count (song) keeps all PAX together and who doesn't love to work out to the Q's favorite play list?"
Proud Mary,"Performed to ""Proud Mary"" by Creedence Clearwater Revival. Perform Big Boy Situps until “Rolling”, switch to Gas Pumps for each ""Rolling"", then to Flutter kick after ""Rolling"", then back to Gas Pumps during ""Rolling"", then back to Big Boy Situps. Repeat til song ends."
Roxanne,"Done while listening to the song Roxanne by the Police. While staying in the plank position for the entire song, a Merkin is done at every ""Roxanne"" and a Plank Jack at every 'red light' sung. Alternatively, while running in place at a high cadence for the entire song, a burpee is done at every ""Roxanne."""
